model,gamma,direction,dataset,y_correct,marker_hit,id
DeepSeek-R1-Distill-Qwen-7B,0,rand,medqa,0.34,0.0,0
DeepSeek-R1-Distill-Qwen-7B,0,rand,mmlu,0.33,0.0,0
DeepSeek-R1-Distill-Qwen-7B,0,real,medqa,0.34,0.0,0
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,0.33,0.0,0
DeepSeek-R1-Distill-Qwen-7B,1,rand,medqa,0.33,0.0,0
DeepSeek-R1-Distill-Qwen-7B,1,rand,mmlu,0.32,0.0,0
DeepSeek-R1-Distill-Qwen-7B,1,real,medqa,0.33,0.0,0
DeepSeek-R1-Distill-Qwen-7B,1,real,mmlu,0.32,0.0,0
DeepSeek-R1-Distill-Qwen-7B,2,rand,medqa,0.33,0.0,0
DeepSeek-R1-Distill-Qwen-7B,2,rand,mmlu,0.32,0.0,0
DeepSeek-R1-Distill-Qwen-7B,2,real,medqa,0.33,0.0,0
DeepSeek-R1-Distill-Qwen-7B,2,real,mmlu,0.32,0.0,0
Llama-3.1-8B-Instruct,0,rand,medqa,0.68,0.0,0
Llama-3.1-8B-Instruct,0,rand,mmlu,0.67,0.0,0
Llama-3.1-8B-Instruct,0,real,medqa,0.68,0.0,0
Llama-3.1-8B-Instruct,0,real,mmlu,0.67,0.0,0
Llama-3.1-8B-Instruct,1,rand,medqa,0.67,0.0,0
Llama-3.1-8B-Instruct,1,rand,mmlu,0.67,0.0,0
Llama-3.1-8B-Instruct,1,real,medqa,0.68,0.0,0
Llama-3.1-8B-Instruct,1,real,mmlu,0.67,0.0,0
Llama-3.1-8B-Instruct,2,rand,medqa,0.67,0.0,0
Llama-3.1-8B-Instruct,2,rand,mmlu,0.67,0.0,0
Llama-3.1-8B-Instruct,2,real,medqa,0.68,0.0,0
Llama-3.1-8B-Instruct,2,real,mmlu,0.67,0.0,0
Qwen2.5-7B-Instruct,0,rand,medqa,0.71,0.0,0
Qwen2.5-7B-Instruct,0,rand,mmlu,0.7,0.0,0
Qwen2.5-7B-Instruct,0,real,medqa,0.71,0.0,0
Qwen2.5-7B-Instruct,0,real,mmlu,0.7,0.0,0
Qwen2.5-7B-Instruct,1,rand,medqa,0.71,0.0,0
Qwen2.5-7B-Instruct,1,rand,mmlu,0.7,0.0,0
Qwen2.5-7B-Instruct,1,real,medqa,0.71,0.0,0
Qwen2.5-7B-Instruct,1,real,mmlu,0.7,0.0,0
Qwen2.5-7B-Instruct,2,rand,medqa,0.71,0.0,0
Qwen2.5-7B-Instruct,2,rand,mmlu,0.7,0.0,0
Qwen2.5-7B-Instruct,2,real,medqa,0.71,0.0,0
Qwen2.5-7B-Instruct,2,real,mmlu,0.7,0.0,0
Qwen3-8B,0,rand,medqa,0.73,0.0,0
Qwen3-8B,0,rand,mmlu,0.71,0.0,0
Qwen3-8B,0,real,medqa,0.73,0.0,0
Qwen3-8B,0,real,mmlu,0.71,0.0,0
Qwen3-8B,1,rand,medqa,0.73,0.0,0
Qwen3-8B,1,rand,mmlu,0.7,0.0,0
Qwen3-8B,1,real,medqa,0.73,0.0,0
Qwen3-8B,1,real,mmlu,0.7,0.0,0
Qwen3-8B,2,rand,medqa,0.73,0.0,0
Qwen3-8B,2,rand,mmlu,0.7,0.0,0
Qwen3-8B,2,real,medqa,0.73,0.0,0
Qwen3-8B,2,real,mmlu,0.7,0.0,0
