model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.9023300111293793,-0.6995658278465271,1.059839814901352,1.25,0.00018947944045066833,0.0724320262670517,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-1.1082773506641388,-0.9640627503395081,0.9933248460292816,3.75,0.007905963808298111,0.04934883862733841,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.780742734670639,-0.6452161073684692,1.399608850479126,0.875,-0.12509896606206894,-0.06511665880680084,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.9216300547122955,-0.8222628235816956,0.8749344050884247,2.25,-0.19002825766801834,-0.16664385795593262,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-1.1473355889320374,-0.8685997724533081,1.476722776889801,0.75,0.10672762244939804,0.1365945041179657,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.824225902557373,-0.7875308394432068,1.1450151801109314,0.375,-0.04505331814289093,0.09533260762691498,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.9966049492359161,-0.7189081311225891,1.3716256022453308,0.625,0.015990610234439373,0.05182603746652603,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.9726319909095764,-0.7355927228927612,1.3975553512573242,0.125,-0.08450960926711559,-0.04663502797484398,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.8972060680389404,-0.7265853881835938,1.3383888006210327,0.125,-0.21463792026042938,-0.06697189807891846,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-1.0624019503593445,-0.8255707025527954,0.8374557644128799,4.25,0.0243605338037014,0.1161225438117981,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.9918152987957001,-0.7683184742927551,0.9370571374893188,1.625,-0.030869048088788986,0.09481651335954666,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,0,-0.8961375057697296,-0.6776084303855896,1.6907308101654053,0.5,0.010916553786955774,0.023714594542980194,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,1,-0.8951286971569061,-0.8627545833587646,1.110467106103897,0.125,-0.07086792960762978,-0.061212845146656036,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,0,-1.052666962146759,-0.8093582391738892,1.0164363019168376,0.125,-0.049126184359192845,0.06035282090306282,0
