model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,4.48690938949585,4.729444980621338,1.059839814901352,1.25,0.00018947944045066833,0.0724320262670517,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,4.759761810302734,5.2145161628723145,0.9933248460292816,3.75,0.007905963808298111,0.04934883862733841,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,4.441433906555176,4.608177185058594,1.399608850479126,0.875,-0.12509896606206894,-0.06511665880680084,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,4.547543048858643,4.759761810302734,0.8749344050884247,2.25,-0.19002825766801834,-0.16664385795593262,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,6.609096050262451,9.186037063598633,1.476722776889801,0.75,0.10672762244939804,0.1365945041179657,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,4.062471866607666,4.0927886962890625,1.1450151801109314,0.375,-0.04505331814289093,0.09533260762691498,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,4.6536524295806885,5.09324836730957,1.3716256022453308,0.625,0.015990610234439373,0.05182603746652603,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,4.289849042892456,4.456592082977295,1.3975553512573242,0.125,-0.08450960926711559,-0.04663502797484398,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,4.289849042892456,4.517226219177246,1.3383888006210327,0.125,-0.21463792026042938,-0.06697189807891846,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,4.881029844284058,5.39641809463501,0.8374557644128799,4.25,0.0243605338037014,0.1161225438117981,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,6.124024748802185,8.458430290222168,0.9370571374893188,1.625,-0.030869048088788986,0.09481651335954666,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,0,6.305926561355591,8.791916847229004,1.6907308101654053,0.5,0.010916553786955774,0.023714594542980194,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,1,4.214056730270386,4.244373798370361,1.110467106103897,0.125,-0.07086792960762978,-0.061212845146656036,0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,0,6.124024963378906,9.580158233642578,1.0164363019168376,0.125,-0.049126184359192845,0.06035282090306282,0
