model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy,option_logits_logged,decision_step,logit_A_sp,logit_B_sp,logit_C_sp,logit_D_sp,logit_A_dec,logit_B_dec,logit_C_dec,logit_D_dec,logit_A,logit_D,logit_C,logit_B
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,0,0,1,-0.603683352470398,2.2470359802246094,1.1587244272232056,1.25,0.15195646788924932,0.3342830240726471,0,-0.603683352470398,0,0,0.0,0.0,True,0,22.0,22.125,23.375,19.625,22.0,22.125,23.375,19.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,1,0,1,-8.268607139587402,-5.469046592712402,1.134468287229538,3.75,-0.37022492103278637,0.044293228536844254,0,-8.268607139587402,0,0,0.0,0.0,True,0,23.5,18.625,19.75,19.75,23.5,18.625,19.75,19.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,2,0,1,-7.807509183883667,-6.549828052520752,1.6182582378387451,0.875,0.10457798093557358,0.3035328686237335,0,-7.807509183883667,0,0,0.0,0.0,True,0,21.125,18.75,20.25,19.375,21.125,18.75,20.25,19.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,3,0,1,-5.946540832519531,-5.7515034675598145,0.9983995854854584,2.25,0.06962135434150696,0.6997759938240051,0,-5.946540832519531,0,0,0.0,0.0,True,0,23.25,19.5,21.0,20.375,23.25,19.5,21.0,20.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,4,0,0,-9.642492294311523,-4.576850891113281,1.6394943594932556,0.75,0.2950938418507576,0.7910638451576233,0,-9.642492294311523,0,0,0.0,0.0,True,0,21.75,19.5,18.875,21.0,21.75,19.5,18.875,21.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5,0,1,-2.409602850675583,0.8504701256752014,1.2511822879314423,0.375,-0.11936662718653679,0.11510632187128067,0,-2.409602850675583,0,0,0.0,0.0,True,0,20.875,19.75,21.5,21.875,20.875,19.75,21.5,21.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,6,0,0,-9.943180322647095,-5.209221363067627,1.5209372639656067,0.625,0.43527658469974995,0.8164457082748413,0,-9.943180322647095,0,0,0.0,0.0,True,0,22.125,17.125,17.625,21.5,22.125,17.125,17.625,21.5,10.5,11.25,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,7,0,0,-10.117884874343872,-5.520157337188721,1.6150178909301758,0.125,-0.20742180943489075,0.1902632713317871,0,-10.117884874343872,0,0,0.0,0.0,True,0,21.375,16.5,21.25,19.125,21.375,16.5,21.25,19.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,8,0,1,-8.119426012039185,-5.588016986846924,1.4728949069976807,0.125,-0.2524210959672928,0.27690955996513367,0,-8.119426012039185,0,0,0.0,0.0,True,0,21.5,18.875,20.0,21.375,21.5,18.875,20.0,21.375,,10.125,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,9,0,0,-9.602317810058594,-5.440851211547852,0.9204489290714264,4.25,0.16978806257247925,0.6397606134414673,0,-9.602317810058594,0,0,0.0,0.0,True,0,24.375,20.125,18.25,20.0,24.375,20.125,18.25,20.0,11.5625,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,10,0,0,-1.2059329748153687,2.0758469104766846,1.0645235180854797,1.625,0.8566716313362122,1.172985553741455,0,-1.2059329748153687,0,0,0.0,0.0,True,0,20.25,15.8125,16.625,21.875,20.25,15.8125,16.625,21.875,,10.4375,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,11,1,0,-9.745461463928223,-4.3106842041015625,1.9019129872322083,0.5,0.3926712521351874,0.7942068576812744,0,-9.745461463928223,0,0,0.0,0.0,True,0,20.125,16.0,19.625,16.625,20.125,16.0,19.625,16.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,12,1,1,-6.037777662277222,-5.8474907875061035,1.2693056464195251,0.125,-0.08729346096515656,0.18715626001358032,0,-6.037777662277222,0,0,0.0,0.0,True,0,21.375,19.75,19.0,21.25,21.375,19.75,19.0,21.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,13,1,0,0.6213080406188964,7.672812461853027,1.1800599530339242,0.125,0.5573286736384034,1.3356496095657349,0,0.6213080406188964,0,0,0.0,0.0,True,0,21.625,20.375,21.5,20.25,21.625,20.375,21.5,20.25,,,10.0,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,14,0,0,-9.9313325881958,-6.016439437866211,1.6262462139129639,0.625,-0.023690372705459595,0.3482791781425476,0,-9.9313325881958,0,0,0.0,0.0,True,0,22.625,22.0,19.0,21.0,22.625,22.0,19.0,21.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,15,0,1,-10.811704635620117,-5.797605514526367,2.299347460269928,0.75,-0.14024700224399567,0.25199612975120544,0,-10.811704635620117,0,0,0.0,0.0,True,0,18.0,15.0,16.375,17.25,18.0,15.0,16.375,17.25,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,16,0,0,-7.832858562469482,-3.951322555541992,1.6929723024368286,0.875,0.34008971974253654,0.568048357963562,0,-7.832858562469482,0,0,0.0,0.0,True,0,21.875,21.0,19.25,19.5,21.875,21.0,19.25,19.5,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,17,0,0,-10.239124536514282,-4.9489874839782715,1.9204689860343933,1.875,0.4606865681707859,0.9019556045532227,0,-10.239124536514282,0,0,0.0,0.0,True,0,20.875,18.0,18.625,18.125,20.875,18.0,18.625,18.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,18,1,1,-6.299826145172119,-5.590888977050781,1.1919655799865723,2.375,-0.062076643109321594,0.29726719856262207,0,-6.299826145172119,0,0,0.0,0.0,True,0,23.5,21.125,21.0,21.125,23.5,21.125,21.0,21.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,19,0,0,-7.332491159439087,-4.122146129608154,1.5276673436164856,0.125,0.06039181351661682,0.8242133855819702,0,-7.332491159439087,0,0,0.0,0.0,True,0,22.75,20.375,22.625,22.0,22.75,20.375,22.625,22.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,20,0,1,-9.650402545928955,-5.696381568908691,2.716947913169861,0.125,0.037254899740219116,0.18551772832870483,0,-9.650402545928955,0,0,0.0,0.0,True,0,17.875,15.875,14.6875,17.5,17.875,15.875,14.6875,17.5,,,,
