model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.2569989264011383,0.56080561876297,1.059839814901352,1.25,0.00018947944045066833,0.0724320262670517,0,-0.2569989264011383,0,0,1.25,1.059839814901352
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.6550775589421391,-0.030979836359620094,0.9933248460292816,3.75,0.007905963808298111,0.04934883862733841,0,-0.6550775589421391,0,0,3.75,0.9933248460292816
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.4994601532816887,0.20436884462833405,1.399608850479126,0.875,-0.12509896606206894,-0.06511665880680084,0,-0.4994601532816887,0,0,0.875,1.399608850479126
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.5640328601002693,0.10728965699672699,0.8749344050884247,2.25,-0.19002825766801834,-0.16664385795593262,0,-0.5640328601002693,0,0,2.25,0.8749344050884247
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.9656494855880737,-0.6775146722793579,1.476722776889801,0.75,0.10672762244939804,0.1365945041179657,0,-0.9656494855880737,0,0,0.75,1.476722776889801
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.4093335121870041,0.3666844666004181,1.1450151801109314,0.375,-0.04505331814289093,0.09533260762691498,0,-0.4093335121870041,0,0,0.375,1.1450151801109314
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.993860125541687,-0.9509930610656738,1.3716256022453308,0.625,0.015990610234439373,0.05182603746652603,0,-0.993860125541687,0,0,0.625,1.3716256022453308
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.8368878662586212,-0.5439406037330627,1.3975553512573242,0.125,-0.08450960926711559,-0.04663502797484398,0,-0.8368878662586212,0,0,0.125,1.3975553512573242
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,1,-0.6036982238292694,-0.16127818822860718,1.3383888006210327,0.125,-0.21463792026042938,-0.06697189807891846,0,-0.6036982238292694,0,0,0.125,1.3383888006210327
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.7222165018320084,-0.1820177137851715,0.8374557644128799,4.25,0.0243605338037014,0.1161225438117981,0,-0.7222165018320084,0,0,4.25,0.8374557644128799
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,0,0,-0.30466900765895844,0.331347793340683,0.9370571374893188,1.625,-0.030869048088788986,0.09481651335954666,0,-0.30466900765895844,0,0,1.625,0.9370571374893188
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,0,-0.9599857330322266,-0.748831033706665,1.6907308101654053,0.5,0.010916553786955774,0.023714594542980194,0,-0.9599857330322266,0,0,0.5,1.6907308101654053
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,1,-0.4539880007505417,0.3278485834598541,1.110467106103897,0.125,-0.07086792960762978,-0.061212845146656036,0,-0.4539880007505417,0,0,0.125,1.110467106103897
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,,1,0,0.16630817651748658,1.129575252532959,1.0164363019168376,0.125,-0.049126184359192845,0.06035282090306282,0,0.16630817651748658,0,0,0.125,1.0164363019168376
