model,gamma,direction,dataset,y_correct,marker_hit,id,refusal_detected,format_violation,choice_margin,answer_entropy
DeepSeek-R1-Distill-Qwen-7B,0,rand,medqa,0.34,0.0,0,0.0,0.0,1.5875,1.0906384623742529
DeepSeek-R1-Distill-Qwen-7B,0,rand,mmlu,0.33,0.0,0,0.0,0.0,1.32875,1.2240329399873606
DeepSeek-R1-Distill-Qwen-7B,0,real,medqa,0.34,0.0,0,0.0,0.0,1.5875,1.0906384623742529
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,0.33,0.0,0,0.0,0.0,1.32875,1.2240329399873606
DeepSeek-R1-Distill-Qwen-7B,2,rand,medqa,0.33,0.0,0,0.0,0.0,1.585,1.0929982084035874
DeepSeek-R1-Distill-Qwen-7B,2,rand,mmlu,0.32,0.0,0,0.0,0.0,1.335,1.2274715193500743
DeepSeek-R1-Distill-Qwen-7B,2,real,medqa,0.33,0.0,0,0.0,0.0,1.585,1.0929982084035874
DeepSeek-R1-Distill-Qwen-7B,2,real,mmlu,0.32,0.0,0,0.0,0.0,1.335,1.2274715193500743
DeepSeek-R1-Distill-Qwen-7B,5,rand,medqa,0.33,0.0,0,0.0,0.0,1.585,1.0929982084035874
DeepSeek-R1-Distill-Qwen-7B,5,rand,mmlu,0.32,0.0,0,0.0,0.0,1.335,1.2274715193500743
DeepSeek-R1-Distill-Qwen-7B,5,real,medqa,0.34,0.0,0,0.0,0.0,1.585,1.0878058856725692
DeepSeek-R1-Distill-Qwen-7B,5,real,mmlu,0.33,0.0,0,0.0,0.0,1.335,1.2072980143968015
DeepSeek-R1-Distill-Qwen-7B,10,rand,medqa,0.34,0.0,0,0.0,0.0,1.585,1.0878058856725692
DeepSeek-R1-Distill-Qwen-7B,10,rand,mmlu,0.32,0.0,0,0.0,0.01,1.335,1.2203904780140147
DeepSeek-R1-Distill-Qwen-7B,10,real,medqa,0.34,0.0,0,0.0,0.0,1.585,1.0849594530463218
DeepSeek-R1-Distill-Qwen-7B,10,real,mmlu,0.35,0.0,0,0.0,0.0,1.335,1.1755789026069106
Llama-3.1-8B-Instruct,0,rand,medqa,0.68,0.0,0,0.0,0.0,3.01375,0.35102038750595727
Llama-3.1-8B-Instruct,0,rand,mmlu,0.67,0.0,0,0.0,0.0,3.515,0.26183213255444565
Llama-3.1-8B-Instruct,0,real,medqa,0.68,0.0,0,0.0,0.0,3.01375,0.35102038750595727
Llama-3.1-8B-Instruct,0,real,mmlu,0.67,0.0,0,0.0,0.0,3.515,0.26183213255444565
Llama-3.1-8B-Instruct,2,rand,medqa,0.67,0.0,0,0.0,0.0,3.015,0.3484434632814955
Llama-3.1-8B-Instruct,2,rand,mmlu,0.67,0.0,0,0.0,0.0,3.5225,0.26098921793942276
Llama-3.1-8B-Instruct,2,real,medqa,0.69,0.0,0,0.0,0.0,3.015,0.35171502102562224
Llama-3.1-8B-Instruct,2,real,mmlu,0.67,0.0,0,0.0,0.0,3.5225,0.26098921793942276
Llama-3.1-8B-Instruct,5,rand,medqa,0.67,0.0,0,0.0,0.0,3.015,0.3484434632814955
Llama-3.1-8B-Instruct,5,rand,mmlu,0.67,0.0,0,0.0,0.0,3.5225,0.26098921793942276
Llama-3.1-8B-Instruct,5,real,medqa,0.69,0.0,0,0.0,0.0,3.015,0.35171502102562224
Llama-3.1-8B-Instruct,5,real,mmlu,0.67,0.0,0,0.0,0.0,3.5225,0.26098921793942276
Llama-3.1-8B-Instruct,10,rand,medqa,0.68,0.0,0,0.0,0.0,3.015,0.34233367127995
Llama-3.1-8B-Instruct,10,rand,mmlu,0.67,0.0,0,0.0,0.0,3.5225,0.2609817343748727
