model,gamma,dataset,task,feature_group,auc,accuracy
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Baseline,0.5587912087912088,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Real-U,0.5043956043956044,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Rand-U,0.5626373626373626,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Baseline,0.5785714285714285,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Real-U,0.6478021978021977,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6377289377289378,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Baseline,0.38186813186813184,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Real-U,0.35366300366300363,0.6399999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Rand-U,0.36007326007326,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Baseline,0.5858974358974359,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Real-U,0.5902930402930403,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Rand-U,0.5844322344322344,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Baseline,0.5593406593406594,0.0
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Real-U,0.608058608058608,0.0
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Rand-U,0.6258241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Baseline,0.36648351648351646,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Real-U,0.3558608058608058,0.6399999999999999
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Rand-U,0.3377289377289377,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Baseline,0.5858974358974359,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Real-U,0.5902930402930403,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Rand-U,0.5844322344322344,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Baseline,0.5593406593406594,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Real-U,0.608058608058608,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Rand-U,0.6258241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Baseline,0.36648351648351646,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Real-U,0.3558608058608058,0.6399999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Rand-U,0.3377289377289377,0.6499999999999999
