model,gamma,dataset,task,feature_group,auc,accuracy
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Baseline,0.5587912087912088,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Real-U,0.6957875457875458,0.6900000000000001
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Rand-U,0.5626373626373626,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Baseline,0.5785714285714285,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Real-U,0.6417582417582416,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6377289377289378,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Baseline,0.38186813186813184,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Real-U,0.4873626373626374,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Rand-U,0.36007326007326,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Baseline,0.5945054945054945,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Real-U,0.6827838827838828,0.6900000000000001
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Rand-U,0.6199633699633699,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Baseline,0.5593406593406594,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Real-U,0.6069597069597069,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Rand-U,0.6258241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Baseline,0.5617216117216117,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Real-U,0.5793040293040294,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Rand-U,0.5575091575091575,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5A_Correctness,Baseline,0.5945054945054945,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5A_Correctness,Real-U,0.6827838827838828,0.6900000000000001
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5A_Correctness,Rand-U,0.6199633699633699,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5B_ReasoningDemand,Baseline,0.5593406593406594,0.0
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5B_ReasoningDemand,Real-U,0.6069597069597069,0.0
DeepSeek-R1-Distill-Qwen-7B,5,mmlu,5B_ReasoningDemand,Rand-U,0.6258241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,5,medqa,5A_Correctness,Baseline,0.5617216117216117,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,medqa,5A_Correctness,Real-U,0.5793040293040294,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,5,medqa,5A_Correctness,Rand-U,0.5575091575091575,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Baseline,0.5998168498168498,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Real-U,0.6641025641025641,0.74
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Rand-U,0.6108058608058609,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Baseline,0.5758241758241758,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Real-U,0.6163003663003662,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Rand-U,0.6142857142857142,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Baseline,0.3978021978021978,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Real-U,0.46318681318681315,0.6499999999999999
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Rand-U,0.38901098901098896,0.6499999999999999
