model,gamma,dataset,task,feature_group,auc,accuracy
Llama-3.1-8B-Instruct,0,mmlu,5A_Correctness,Baseline,0.8481684981684982,0.8300000000000001
Llama-3.1-8B-Instruct,0,mmlu,5A_Correctness,Real-U,0.845970695970696,0.8200000000000001
Llama-3.1-8B-Instruct,0,mmlu,5A_Correctness,Rand-U,0.8481684981684982,0.8300000000000001
Llama-3.1-8B-Instruct,0,mmlu,5B_ReasoningDemand,Baseline,0.6291208791208791,0.0
Llama-3.1-8B-Instruct,0,mmlu,5B_ReasoningDemand,Real-U,0.6390109890109891,0.0
Llama-3.1-8B-Instruct,0,mmlu,5B_ReasoningDemand,Rand-U,0.6293040293040292,0.0
Llama-3.1-8B-Instruct,0,medqa,5A_Correctness,Baseline,0.7683150183150185,0.7300000000000001
Llama-3.1-8B-Instruct,0,medqa,5A_Correctness,Real-U,0.7705128205128207,0.7200000000000001
Llama-3.1-8B-Instruct,0,medqa,5A_Correctness,Rand-U,0.7661172161172163,0.74
Llama-3.1-8B-Instruct,2,mmlu,5A_Correctness,Baseline,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,2,mmlu,5A_Correctness,Real-U,0.8412087912087912,0.8099999999999999
Llama-3.1-8B-Instruct,2,mmlu,5A_Correctness,Rand-U,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,2,mmlu,5B_ReasoningDemand,Baseline,0.6316849816849817,0.0
Llama-3.1-8B-Instruct,2,mmlu,5B_ReasoningDemand,Real-U,0.634065934065934,0.0
Llama-3.1-8B-Instruct,2,mmlu,5B_ReasoningDemand,Rand-U,0.6227106227106227,0.0
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Baseline,0.741941391941392,0.73
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Real-U,0.7441391941391942,0.73
Llama-3.1-8B-Instruct,2,medqa,5A_Correctness,Rand-U,0.7419413919413919,0.73
Llama-3.1-8B-Instruct,5,mmlu,5A_Correctness,Baseline,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,5,mmlu,5A_Correctness,Real-U,0.8412087912087912,0.8099999999999999
Llama-3.1-8B-Instruct,5,mmlu,5A_Correctness,Rand-U,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,5,mmlu,5B_ReasoningDemand,Baseline,0.6316849816849817,0.0
Llama-3.1-8B-Instruct,5,mmlu,5B_ReasoningDemand,Real-U,0.634065934065934,0.0
Llama-3.1-8B-Instruct,5,mmlu,5B_ReasoningDemand,Rand-U,0.6227106227106227,0.0
Llama-3.1-8B-Instruct,5,medqa,5A_Correctness,Baseline,0.741941391941392,0.73
Llama-3.1-8B-Instruct,5,medqa,5A_Correctness,Real-U,0.7441391941391942,0.73
Llama-3.1-8B-Instruct,5,medqa,5A_Correctness,Rand-U,0.7419413919413919,0.73
Llama-3.1-8B-Instruct,10,mmlu,5A_Correctness,Baseline,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,10,mmlu,5A_Correctness,Real-U,0.8412087912087912,0.8099999999999999
Llama-3.1-8B-Instruct,10,mmlu,5A_Correctness,Rand-U,0.8412087912087912,0.8200000000000001
Llama-3.1-8B-Instruct,10,mmlu,5B_ReasoningDemand,Baseline,0.6316849816849817,0.0
Llama-3.1-8B-Instruct,10,mmlu,5B_ReasoningDemand,Real-U,0.634065934065934,0.0
Llama-3.1-8B-Instruct,10,mmlu,5B_ReasoningDemand,Rand-U,0.6227106227106227,0.0
Llama-3.1-8B-Instruct,10,medqa,5A_Correctness,Baseline,0.741941391941392,0.73
Llama-3.1-8B-Instruct,10,medqa,5A_Correctness,Real-U,0.7441391941391942,0.73
Llama-3.1-8B-Instruct,10,medqa,5A_Correctness,Rand-U,0.7419413919413919,0.73
