model,gamma,direction,dataset,y_correct,marker_hit,refusal_detected,format_violation,choice_margin,answer_entropy,n
DeepSeek-R1-Distill-Qwen-7B,0,rand,medqa,0.34,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,0,rand,mmlu,0.33,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,0,real,medqa,0.34,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,0.33,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,2,rand,medqa,0.33,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,2,rand,mmlu,0.32,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,2,real,medqa,0.33,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,2,real,mmlu,0.32,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,5,rand,medqa,0.33,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,5,rand,mmlu,0.32,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,5,real,medqa,0.34,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,5,real,mmlu,0.33,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,10,rand,medqa,0.34,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,10,rand,mmlu,0.32,0.0,0.0,0.01,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,10,real,medqa,0.34,0.0,0.0,0.0,0.0,0.0,100
DeepSeek-R1-Distill-Qwen-7B,10,real,mmlu,0.35,0.0,0.0,0.0,0.0,0.0,100
