model,gamma,dataset,task,feature_group,auc,accuracy
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Baseline,0.653826655982906,0.65
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Real-U,0.7475809294871796,0.7220000000000001
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Rand-U,0.6976636904761905,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Baseline,0.537726565851566,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Real-U,0.7258395672458172,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Rand-U,0.8897140444015443,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Baseline,0.6265464123234097,0.6679999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Real-U,0.6459015085002793,0.694
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Rand-U,0.6109093569585229,0.67
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Baseline,0.6462539300976801,0.6580000000000001
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Real-U,0.7515184294871794,0.714
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Rand-U,0.6849859203296703,0.664
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Baseline,0.5359783891033891,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Real-U,0.7167943613256115,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Rand-U,0.8944957234019734,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Baseline,0.6142176816452496,0.666
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Real-U,0.6251363503338919,0.686
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Rand-U,0.6016348737595446,0.668
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5A_Correctness,Baseline,0.6281266757829258,0.652
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5A_Correctness,Real-U,0.74425307003432,0.702
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5A_Correctness,Rand-U,0.6807040299227799,0.66
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5B_ReasoningDemand,Baseline,0.5453403179965681,0.0
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5B_ReasoningDemand,Real-U,0.701372131059631,0.0
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5B_ReasoningDemand,Rand-U,0.8928635108322608,0.0
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5A_Correctness,Baseline,0.6236092265943013,0.674
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5A_Correctness,Real-U,0.6317503392130257,0.6900000000000001
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5A_Correctness,Rand-U,0.6046132971506106,0.6780000000000002
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5A_Correctness,Baseline,0.6150265016974361,0.63
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5A_Correctness,Real-U,0.7269377069162758,0.6739999999999999
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5A_Correctness,Rand-U,0.6564283833286588,0.638
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5B_ReasoningDemand,Baseline,0.5400974635349636,0.0
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5B_ReasoningDemand,Real-U,0.6872992412054912,0.0
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5B_ReasoningDemand,Rand-U,0.8899583735521237,0.0
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5A_Correctness,Baseline,0.6165303994732222,0.678
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5A_Correctness,Real-U,0.6118067749487855,0.696
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5A_Correctness,Rand-U,0.5989701392768778,0.684
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
