model,gamma,dataset,task,feature_group,auc,accuracy
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Baseline,0.5587912087912088,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Real-U,0.5725274725274725,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Rand-U,0.5626373626373626,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Baseline,0.5785714285714285,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Real-U,0.7122710622710622,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6377289377289378,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Baseline,0.38186813186813184,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Real-U,0.3752747252747253,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Rand-U,0.36007326007326,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Baseline,0.6357142857142856,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Real-U,0.622893772893773,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5A_Correctness,Rand-U,0.667032967032967,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Baseline,0.5619047619047619,0.0
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Real-U,0.6888278388278388,0.0
DeepSeek-R1-Distill-Qwen-7B,1,mmlu,5B_ReasoningDemand,Rand-U,0.621062271062271,0.0
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Baseline,0.5617216117216117,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Real-U,0.5875457875457876,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,1,medqa,5A_Correctness,Rand-U,0.5575091575091575,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Baseline,0.6357142857142856,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Real-U,0.622893772893773,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5A_Correctness,Rand-U,0.667032967032967,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Baseline,0.5619047619047619,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Real-U,0.6888278388278388,0.0
DeepSeek-R1-Distill-Qwen-7B,2,mmlu,5B_ReasoningDemand,Rand-U,0.621062271062271,0.0
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Baseline,0.5617216117216117,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Real-U,0.5875457875457876,0.6799999999999999
DeepSeek-R1-Distill-Qwen-7B,2,medqa,5A_Correctness,Rand-U,0.5575091575091575,0.6799999999999999
