model,gamma,dataset,task,feature_group,auc,accuracy
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Baseline,0.653826655982906,0.65
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Real-U,0.7475809294871796,0.7220000000000001
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5A_Correctness,Rand-U,0.6976636904761905,0.6699999999999999
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Baseline,0.537726565851566,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Real-U,0.7258395672458172,0.0
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5B_ReasoningDemand,Rand-U,0.8897140444015443,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Baseline,0.6265464123234097,0.6679999999999999
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Real-U,0.6459015085002793,0.694
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5A_Correctness,Rand-U,0.6109093569585229,0.67
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,0,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Baseline,0.6240432876520716,0.628
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Real-U,0.7604487054596994,0.708
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5A_Correctness,Rand-U,0.6644428006517127,0.62
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Baseline,0.5245368135993137,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Real-U,0.7032587274774775,0.0
DeepSeek-R1-Distill-Qwen-7B,10,mmlu,5B_ReasoningDemand,Rand-U,0.8931078399828399,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Baseline,0.6231569425599277,0.674
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Real-U,0.6347354138398915,0.6980000000000001
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5A_Correctness,Rand-U,0.6202623247399368,0.6740000000000002
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,10,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5A_Correctness,Baseline,0.5552840366915998,0.55
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5A_Correctness,Real-U,0.7194289254163204,0.6599999999999999
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5A_Correctness,Rand-U,0.6507441438113707,0.606
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5B_ReasoningDemand,Baseline,0.5280616554054054,0.0
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5B_ReasoningDemand,Real-U,0.6695453265765765,0.0
DeepSeek-R1-Distill-Qwen-7B,25,mmlu,5B_ReasoningDemand,Rand-U,0.8810053356928356,0.0
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5A_Correctness,Baseline,0.6218431601244101,0.6460000000000001
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5A_Correctness,Real-U,0.6681115267052766,0.704
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5A_Correctness,Rand-U,0.6280237827112827,0.644
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,25,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5A_Correctness,Baseline,0.5677162933684673,0.558
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5A_Correctness,Real-U,0.6823246962377397,0.6140000000000001
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5A_Correctness,Rand-U,0.6248446786707657,0.602
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5B_ReasoningDemand,Baseline,0.5215927981552981,0.0
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5B_ReasoningDemand,Real-U,0.6388972678035177,0.0
DeepSeek-R1-Distill-Qwen-7B,40,mmlu,5B_ReasoningDemand,Rand-U,0.8645970747533248,0.0
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5A_Correctness,Baseline,0.6054846867240755,0.632
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5A_Correctness,Real-U,0.6808688023458822,0.72
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5A_Correctness,Rand-U,0.6536417329286598,0.654
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5B_ReasoningDemand,Baseline,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5B_ReasoningDemand,Real-U,0.5,0.0
DeepSeek-R1-Distill-Qwen-7B,40,medqa,5B_ReasoningDemand,Rand-U,0.5,0.0
