model,gamma,mode,desc,leakage_rate,N
Qwen2.5-7B-Instruct,0.0,all,sanity_gamma0.0,0.125,40
Qwen2.5-7B-Instruct,1.0,all,sanity_gamma1.0,0.1,40
Qwen2.5-7B-Instruct,1.5,all,sanity_gamma1.5,0.075,40
Qwen2.5-7B-Instruct,2.0,all,sanity_gamma2.0,0.025,40
Qwen2.5-7B-Instruct,5.0,all,sanity_gamma5.0,0.0,40
Qwen2.5-7B-Instruct,1.0,think_only,ablation_think_only,0.05,40
Qwen2.5-7B-Instruct,1.0,no_think,ablation_no_think,0.075,40
Llama-3.1-8B-Instruct,0.0,all,sanity_gamma0.0,0.225,40
Llama-3.1-8B-Instruct,1.0,all,sanity_gamma1.0,0.175,40
Llama-3.1-8B-Instruct,1.5,all,sanity_gamma1.5,0.05,40
Llama-3.1-8B-Instruct,2.0,all,sanity_gamma2.0,0.0,40
Llama-3.1-8B-Instruct,5.0,all,sanity_gamma5.0,0.025,40
Llama-3.1-8B-Instruct,1.0,think_only,ablation_think_only,0.125,40
Llama-3.1-8B-Instruct,1.0,no_think,ablation_no_think,0.075,40
DeepSeek-R1-Distill-Qwen-7B,0.0,all,sanity_gamma0.0,0.875,40
DeepSeek-R1-Distill-Qwen-7B,1.0,all,sanity_gamma1.0,0.8,40
DeepSeek-R1-Distill-Qwen-7B,1.5,all,sanity_gamma1.5,0.75,40
DeepSeek-R1-Distill-Qwen-7B,2.0,all,sanity_gamma2.0,0.55,40
DeepSeek-R1-Distill-Qwen-7B,5.0,all,sanity_gamma5.0,0.0,40
DeepSeek-R1-Distill-Qwen-7B,1.0,think_only,ablation_think_only,0.75,40
DeepSeek-R1-Distill-Qwen-7B,1.0,no_think,ablation_no_think,0.775,40
DeepSeek-R1-Distill-Llama-8B,0.0,all,sanity_gamma0.0,0.85,40
DeepSeek-R1-Distill-Llama-8B,1.0,all,sanity_gamma1.0,0.35,40
DeepSeek-R1-Distill-Llama-8B,1.5,all,sanity_gamma1.5,0.1,40
DeepSeek-R1-Distill-Llama-8B,2.0,all,sanity_gamma2.0,0.025,40
DeepSeek-R1-Distill-Llama-8B,5.0,all,sanity_gamma5.0,0.0,40
DeepSeek-R1-Distill-Llama-8B,1.0,think_only,ablation_think_only,0.45,40
DeepSeek-R1-Distill-Llama-8B,1.0,no_think,ablation_no_think,0.9,40
