model,dataset,gamma,delta_margin,delta_entropy,delta_refusal_detected,delta_format_violation,delta_y_correct
DeepSeek-R1-Distill-Qwen-7B,medqa,0,,,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-7B,medqa,2,,,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-7B,medqa,5,,,0.0,0.0,0.010000000000000009
DeepSeek-R1-Distill-Qwen-7B,medqa,10,,,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-7B,mmlu,0,,,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-7B,mmlu,2,,,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-7B,mmlu,5,,,0.0,0.0,0.010000000000000009
DeepSeek-R1-Distill-Qwen-7B,mmlu,10,,,0.0,-0.01,0.02999999999999997
Llama-3.1-8B-Instruct,medqa,0,,,0.0,0.0,0.0
Llama-3.1-8B-Instruct,medqa,2,,,0.0,0.0,0.019999999999999907
Llama-3.1-8B-Instruct,medqa,5,,,0.0,0.0,0.019999999999999907
Llama-3.1-8B-Instruct,medqa,10,,,0.0,0.0,0.009999999999999898
Llama-3.1-8B-Instruct,mmlu,0,,,0.0,0.0,0.0
Llama-3.1-8B-Instruct,mmlu,2,,,0.0,0.0,0.0
Llama-3.1-8B-Instruct,mmlu,5,,,0.0,0.0,0.0
Llama-3.1-8B-Instruct,mmlu,10,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,medqa,0,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,medqa,2,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,medqa,5,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,medqa,10,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,mmlu,0,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,mmlu,2,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,mmlu,5,,,0.0,0.0,0.0
Qwen2.5-7B-Instruct,mmlu,10,,,0.0,0.0,0.0
Qwen3-8B,medqa,0,,,0.0,0.0,0.0
Qwen3-8B,medqa,2,,,0.0,0.0,0.0
Qwen3-8B,medqa,5,,,0.0,0.0,0.0
Qwen3-8B,medqa,10,,,0.0,0.0,0.0
Qwen3-8B,mmlu,0,,,0.0,0.0,0.0
Qwen3-8B,mmlu,2,,,0.0,0.0,0.0
Qwen3-8B,mmlu,5,,,0.0,0.0,0.0
Qwen3-8B,mmlu,10,,,0.0,0.0,0.0
